table_id,verb_root,comments
65,נזף,
65,נקט,
65,סגר,
65,סדק,
65,סלל,
65,ספג,
65,ספר,
65,סקל,
65,סקר,
65,סרג,
65,סרק,
65,סתם,
65,פגם,
65,פגש,
65,פטר,
65,פלט,
65,פסל,
65,פסק,
65,פקד,
65,פרד,
65,פרם,
65,פרס,
65,פרץ,
65,פרש,
65,פתר,
65,צבט,
65,צלב,
65,צמד,
65,צרב,
65,צרד,
65,קבר,
65,קטל,
65,קטף,
65,קלט,
65,קנס,
65,קצר,
65,קשר,
65,שבר,
65,שדד,
65,שטף,
65,שכר,
65,שלט,
65,שלל,
65,שלם,
65,שלף,
65,שמט,
65,שמר,
65,שפט,
65,שפך,
65,שקל,
65,שרט,
65,שרף,
65,שתל,
65,תלש,
65,תמך,
65,תפס,
65,תפר,
65,תקל,
65,תקף,
65,תרם,
66,טמן,
67,כרת,
67,בעת,
67,כפת,
68,רדם,
68,רגם,
68,רדף,
68,רחץ,
68,רטב,
68,רכש,
68,רמז,
68,רמס,
68,רקב,
68,רקם,
68,רשם,
68,רתם,
69,רגע,
69,רצח,
69,רתע,
70,עצר,
70,אבק,
70,אגר,
70,אחז,
70,אטם,
70,אכל,
70,אלם,
70,אלץ,
70,אמד,
70,אמר,
70,אנח,
70,אנס,
70,אנק,
70,אסף,
70,אסר,
70,ארג,
70,ארז,
70,אשם,
70,הדף,
70,הרג,
70,הרס,
70,חרב,
70,חרש,
70,עדר,
70,עזב,
70,עזר,
70,עטף,
70,עלב,
70,עלם,
70,ענש,
70,עצב,
70,עצם,
70,עקד,
70,עקף,
70,עקץ,
70,עקר,
70,ערך,
70,ערם,
70,ערף,
70,עשק,
70,עתר,
71,חקר,
71,חבט,
71,חבל,
71,חבש,
71,חטב,
71,חטף,
71,חלב,
71,חלץ,
71,חלש,
71,חנך,
71,חנק,
71,חסך,
71,חסם,
71,חפז,
71,חפר,
71,חצב,
71,חקק,
71,חרד,
71,חרק,
72,הנה,
72,אפה,
72,הגה,
73,עשה,
73,ענה,
74,בהל,
74,בחר,
74,בחש,
74,גאל,
74,געל,
74,דהם,
74,דחס,
74,דחף,
74,דחק,
